,Total,"Murder and
nonnegligent
manslaughter","Forcible
rape","Aggravated
assault","Simple
assault",Intimidation,Other1,Robbery,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Other1,
Alabama,6,0,0,1,1,0,0,0,1,0,0,0,3,0,0
Alaska,10,0,0,3,5,0,0,0,0,0,0,0,2,0,0
Arizona,205,0,0,36,24,68,0,4,1,2,0,1,69,0,0
Arkansas,38,0,0,4,10,11,0,0,1,1,0,0,11,0,0
California,"1,789",2,0,373,313,456,0,54,30,3,2,6,550,0,0
Colorado,213,0,0,62,40,70,3,3,3,2,0,1,29,0,0
Connecticut,146,0,0,2,20,44,0,1,1,3,0,0,75,0,0
Delaware,59,0,0,8,2,15,0,7,0,0,0,0,26,0,1
District of Columbia,46,0,0,12,19,6,0,0,1,1,0,0,7,0,0
Florida,193,1,0,36,60,28,0,4,3,1,0,1,59,0,0
Georgia,14,0,0,3,0,2,0,1,0,1,0,1,6,0,0
Idaho,48,0,0,4,12,8,0,0,3,2,0,1,16,1,1
Illinois,200,0,0,36,58,34,1,5,1,1,0,1,63,0,0
Indiana,48,0,0,0,7,23,0,0,0,0,0,0,18,0,0
Iowa,32,0,0,3,9,5,0,1,0,0,0,0,13,0,1
Kansas,137,0,0,17,41,27,1,2,3,10,1,0,33,1,1
Kentucky,137,0,0,6,3,111,0,0,2,1,0,0,14,0,0
Louisiana,34,0,0,8,9,4,0,0,0,7,1,0,5,0,0
Maine,82,0,0,3,19,32,1,1,0,0,0,0,26,0,0
Maryland,153,0,0,8,12,0,0,2,0,1,0,3,127,0,0
Massachusetts,419,0,0,55,78,135,0,7,2,10,0,0,130,2,0
Michigan,734,0,0,75,147,263,8,10,25,60,5,3,123,12,3
Minnesota,183,0,0,15,41,88,0,6,1,1,0,0,31,0,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,135,0,1,20,42,31,0,1,1,0,0,1,38,0,0
Montana,28,0,0,9,6,3,1,1,0,1,0,0,6,1,0
Nebraska,48,0,0,0,15,12,0,2,1,2,0,0,14,2,0
Nevada,82,0,0,23,16,18,0,3,0,0,0,0,22,0,0
New Hampshire,50,0,0,3,5,12,1,0,1,1,0,0,26,1,0
New Jersey,773,1,0,13,49,403,0,2,5,1,0,1,298,0,0
New Mexico,17,0,0,5,12,0,0,0,0,0,0,0,0,0,0
New York,498,1,0,38,62,95,0,7,5,2,0,1,287,0,0
North Carolina,85,0,0,10,13,23,0,0,0,0,0,1,38,0,0
North Dakota,19,0,0,4,9,0,0,0,0,2,1,0,3,0,0
Ohio,373,0,1,9,97,134,4,7,9,28,1,3,71,7,2
Oklahoma,37,1,0,3,12,14,0,0,1,0,0,1,5,0,0
Oregon,200,0,0,33,39,50,0,2,3,1,2,0,70,0,0
Pennsylvania,96,0,0,7,12,25,0,0,1,0,0,0,51,0,0
Rhode Island,47,0,0,0,5,2,0,1,12,13,4,0,8,2,0
South Carolina,152,1,0,20,39,24,3,8,6,11,2,1,34,2,1
South Dakota,39,0,0,4,17,1,0,0,1,1,0,2,13,0,0
Tennessee,285,0,0,42,61,65,2,15,10,8,0,4,75,3,0
Texas,295,1,0,48,79,57,1,4,6,3,0,0,96,0,0
Utah,64,0,0,8,12,6,0,0,1,4,0,1,28,2,2
Vermont,21,0,0,2,2,0,0,0,2,0,0,0,14,1,0
Virginia,355,0,0,19,68,46,5,8,7,21,2,5,162,5,7
Washington,232,0,0,15,42,94,0,2,4,3,1,1,70,0,0
West Virginia,47,1,0,4,8,10,0,2,5,7,0,0,8,2,0
Wisconsin,79,0,0,6,23,9,1,5,0,5,0,0,30,0,0
Wyoming,23,0,0,1,9,1,0,0,0,0,0,0,12,0,0
1Includes additional offenses collected in the NIBRS.  See Methodology.,,,,,,,,,,,,,,,
