State of Residence,County of Residence,Country of Birth,Admissions,latitude,longitude
Alaska,Anchorage,Australia,4.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Bulgaria,4.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Canada,5.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Chad,5.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,"China, People's Republic",11.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Colombia,10.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,"Congo, Democratic Republic",5.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Dominican Republic,80.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,El Salvador,5.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Gambia,6.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Germany,7.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,India,7.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Japan,6.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,"Korea, South",32.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Laos,4.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Mexico,46.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Nigeria,9.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Philippines,260.0,61.148262703300006,-149.18856855299998
Alaska,Anchorage,Russia,15.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Samoa,19.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Serbia,8.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Spain,5.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Sudan,7.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Tanzania,4.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Thailand,6.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Turkey,5.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Uganda,6.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,Ukraine,5.0,61.1482627033,-149.18856855299998
Alaska,Anchorage,United Kingdom,13.0,61.1482627033,-149.18856855299998
