Geo Point,NAME,STATE_NAME
"35.8598655553, -92.1567129536",Stone,Arkansas
"39.580876381, -118.335778874",Churchill,Nevada
"41.4353818043, -72.5231194296",Middlesex,Connecticut
"39.7847564917, -100.459899544",Decatur,Kansas
"39.6203734727, -81.8526618984",Morgan,Ohio
"38.4561871377, -96.1526397502",Lyon,Kansas
"35.4855950234, -81.2235326264",Lincoln,North Carolina
"32.1217203314, -82.3312929099",Toombs,Georgia
"40.3469033297, -87.3533144839",Warren,Indiana
"29.7258227162, -82.8003665306",Gilchrist,Florida
"36.6953299477, -77.5356107293",Emporia,Virginia
"38.3642764332, -86.8798021177",Dubois,Indiana
"35.0483629463, -96.2501879728",Hughes,Oklahoma
"48.2279328059, -112.226687932",Pondera,Montana
"36.628673995, -94.3483586551",McDonald,Missouri
"29.3502075785, -100.417946618",Kinney,Texas
"32.6016373737, -92.6648152839",Lincoln,Louisiana
"35.4050346181, -102.602870603",Oldham,Texas
"26.9564459351, -81.1890293853",Glades,Florida
"38.2462130511, -78.0136665279",Orange,Virginia
"34.3669621021, -86.306636969",Marshall,Alabama
"40.597165174, -88.2232738465",Ford,Illinois
"38.297620662, -78.4668692674",Greene,Virginia
"13.4427595479, 144.769451697",Guam,Guam
"40.2938389348, -81.0911358771",Harrison,Ohio
"28.9057389627, -97.8594018287",Karnes,Texas
"39.6441138538, -90.474747165",Scott,Illinois
"43.560975208, -73.8460059552",Warren,New York
"45.8991791693, -91.7912346303",Washburn,Wisconsin
"31.5291972743, -84.6245076946",Calhoun,Georgia
"27.4267108244, -97.6683877685",Kleberg,Texas
"40.4162956557, -75.9259989042",Berks,Pennsylvania
"42.3706766098, -73.2064122879",Berkshire,Massachusetts
"35.3341018022, -81.5555471412",Cleveland,North Carolina
"41.6848582046, -94.0397619265",Dallas,Iowa
"36.3965102811, -78.1067171324",Warren,North Carolina
"33.9879970441, -98.7035507511",Wichita,Texas
"35.151021226, -76.6694598427",Pamlico,North Carolina
"37.872051318, -84.5809372528",Jessamine,Kentucky
