,State of Residence,County of Residence,Country of Birth,Admissions_2007,Admissions_2008,Admissions_2009,Admissions_2010,Admissions_2011,Admissions_2012,Admissions_2013,Admissions_2014,Admissions_2015,Admissions_2016,Admissions_2017,Admissions_2018,Admissions_2019,Total Admissions,latitude,longitude,hate_crimes2018,hate_crimes2017,hate_crimes2016,hate_crimes2015,hate_crimes2014,hate_crimes2013,hate_crimes2012,hate_crimes2011,hate_crimes2010,hate_crimes2009,hate_crimes2008,hate_crimes2007,hate_crimes2019,hate_crimes(2019-2007),hate_crime_rating
821,California,Los Angeles,Canada,523.0,505.0,610.0,567.0,526.0,598.0,582.0,575.0,663.0,571.0,586.0,443.0,546.0,7295.0,34.1979978627,-118.26101385,1222.0,1270.0,1142.0,1017.0,943.0,1012.0,1089.0,1204.0,1331.0,1285.0,1761.0,1789.0,16286.0,16286.0,Very Low
19407,Washington,King,Canada,580.0,419.0,631.0,329.0,302.0,413.0,515.0,467.0,610.0,473.0,497.0,394.0,432.0,6062.0,47.4909231926,-121.83595173,666.0,613.0,482.0,326.0,367.0,344.0,323.0,252.0,301.0,272.0,314.0,232.0,5156.0,5156.0,High
13196,New York,New York,Canada,367.0,343.0,395.0,311.0,324.0,353.0,350.0,364.0,313.0,347.0,277.0,248.0,289.0,4281.0,40.7741618671,-73.9697971209,525.0,559.0,598.0,515.0,558.0,655.0,741.0,566.0,710.0,648.0,586.0,498.0,7777.0,7777.0,Very Low
2169,California,Santa Clara,Canada,318.0,321.0,295.0,264.0,233.0,224.0,276.0,233.0,354.0,278.0,306.0,306.0,255.0,3663.0,37.2324840341,-121.696278854,1222.0,1270.0,1142.0,1017.0,943.0,1012.0,1089.0,1204.0,1331.0,1285.0,1761.0,1789.0,16286.0,16286.0,Very Low
139,Arizona,Maricopa,Canada,337.0,333.0,357.0,320.0,291.0,279.0,252.0,206.0,214.0,239.0,231.0,180.0,263.0,3502.0,33.3489778227,-112.491486812,211.0,328.0,291.0,322.0,304.0,212.0,209.0,231.0,300.0,274.0,220.0,205.0,3361.0,3361.0,Low
17746,Texas,Harris,Canada,225.0,275.0,287.0,215.0,215.0,260.0,251.0,256.0,241.0,282.0,167.0,154.0,248.0,3076.0,29.8572816038,-95.3923371044,500.0,219.0,224.0,219.0,165.0,161.0,60.0,189.0,202.0,185.0,278.0,295.0,3257.0,3257.0,Very Low
1659,California,San Diego,Canada,258.0,280.0,276.0,209.0,223.0,204.0,188.0,203.0,240.0,203.0,189.0,199.0,176.0,2848.0,33.028186394,-116.77020466399999,1222.0,1270.0,1142.0,1017.0,943.0,1012.0,1089.0,1204.0,1331.0,1285.0,1761.0,1789.0,16286.0,16286.0,Very Low
12809,New York,Kings,Canada,180.0,195.0,186.0,189.0,155.0,249.0,212.0,210.0,207.0,251.0,217.0,197.0,215.0,2663.0,40.6343512879,-73.95020459050001,525.0,559.0,598.0,515.0,558.0,655.0,741.0,566.0,710.0,648.0,586.0,498.0,7777.0,7777.0,Very Low
4005,Florida,Broward,Canada,264.0,259.0,255.0,198.0,207.0,194.0,180.0,170.0,169.0,169.0,170.0,146.0,169.0,2550.0,26.151856037800002,-80.45588425369998,166.0,166.0,110.0,83.0,72.0,82.0,166.0,139.0,146.0,147.0,182.0,193.0,1783.0,1783.0,Very Low
1133,California,Orange,Canada,198.0,173.0,234.0,209.0,199.0,182.0,187.0,178.0,188.0,185.0,156.0,141.0,193.0,2423.0,33.6769134328,-117.77614282200001,1222.0,1270.0,1142.0,1017.0,943.0,1012.0,1089.0,1204.0,1331.0,1285.0,1761.0,1789.0,16286.0,16286.0,Very Low
